STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/26,4.47,,0,0,0,,60,38,,50,220,14.1,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/27,4.92,,0,0,0,,69,50,,60,20,13,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/28,7.38,,0.45,0,0,,54,44,,70,70,17,25.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/29,11.63,,0.05,0,0,,47,44,,60,40,21,29.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/30,4.7,,0.04,0,0,,52,41,,50,50,13,16.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/3/31,6.71,,0.06,0,0,,49,41,,50,40,16.1,21,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/1,7.61,,0,0,0,,56,38,,50,40,17,23,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/2,9.4,,0,0,0,,58,38,,300,280,21,35.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/3,8.72,,0.13,0,0,,52,45,,10,20,17,25.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/4,4.25,,0.02,0,0,,62,46,,40,30,15,23,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/5,2.46,,0,0,0,,65,47,,140,150,10.1,16.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/6,5.82,,0.07,0,0,,66,49,,310,320,13,19,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/7,3.8,,0,0,0,,68,52,,150,150,15,21,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/8,3.8,,0.2,0,0,,64,49,,350,240,10.1,16.1,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/9,7.83,,0.12,0,0,,59,43,,300,300,23.9,38.9,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/10,10.07,,0.01,0,0,,49,37,,280,290,25.1,38.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/11,8.95,,0,0,0,,56,38,,270,300,18.1,25.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/12,5.82,,0,0,0,,63,44,,150,150,16.1,25.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/13,7.83,,1.92,0,0,,67,53,,160,200,18.1,38,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/14,6.26,,0,0,0,,60,47,,300,280,15,23.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/15,6.26,,0,0,0,,54,42,,270,270,14.1,25.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/16,9.17,,0,0,0,,50,38,,270,280,17,30,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/4/17,5.37,,0.07,0,0,,51,36,,220,220,14.1,21.9,1,,,,,,
